# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC   79.17240   45.99803        HIP_24608 0. 0.2 0. 360.
SEGMENT EX RADEC   79.40169   -6.84442        HIP_24674 0. 0.2 0. 360.
SEGMENT EX RADEC   81.11930   -2.39715        HIP_25281 0. 0.2 0. 360.
SEGMENT EX RADEC   81.28283    6.34971        HIP_25336 0. 0.2 0. 360.
SEGMENT EX RADEC   81.57304   28.60747        HIP_25428 0. 0.2 0. 360.
SEGMENT EX RADEC   82.06142  -20.75946        HIP_25606 0. 0.2 0. 360.
SEGMENT EX RADEC   83.00174   -0.29909        HIP_25930 0. 0.2 0. 360.
SEGMENT EX RADEC   83.18264  -17.82230        HIP_25985 0. 0.2 0. 360.
SEGMENT EX RADEC   83.78456    9.93417        HIP_26207 0. 0.2 0. 360.
SEGMENT EX RADEC   83.85833   -5.90991        HIP_26241 0. 0.2 0. 360.
SEGMENT EX RADEC   84.05346   -1.20192        HIP_26311 0. 0.2 0. 360.
SEGMENT EX RADEC   84.41126   21.14257        HIP_26451 0. 0.2 0. 360.
SEGMENT EX RADEC   84.68660   -2.60007        HIP_26549 0. 0.2 0. 360.
SEGMENT EX RADEC   84.91232  -34.07414        HIP_26634 0. 0.2 0. 360.
SEGMENT EX RADEC   85.18977   -1.94257        HIP_26727 0. 0.2 0. 360.
SEGMENT EX RADEC   86.73899  -14.82196        HIP_27288 0. 0.2 0. 360.
SEGMENT EX RADEC   86.93919   -9.66961        HIP_27366 0. 0.2 0. 360.
SEGMENT EX RADEC   88.79301    7.40707        HIP_27989 0. 0.2 0. 360.
SEGMENT EX RADEC   89.88225   44.94747        HIP_28360 0. 0.2 0. 360.
SEGMENT EX RADEC   89.93036   37.21262        HIP_28380 0. 0.2 0. 360.
SEGMENT EX RADEC    9.24286   53.89695         HIP_2920 0. 0.2 0. 360.
SEGMENT EX RADEC   95.07838  -30.06339        HIP_30122 0. 0.2 0. 360.
SEGMENT EX RADEC   95.67502  -17.95593        HIP_30324 0. 0.2 0. 360.
SEGMENT EX RADEC   95.98804  -52.69570        HIP_30438 0. 0.2 0. 360.
SEGMENT EX RADEC   97.20454   -7.03307        HIP_30867 0. 0.2 0. 360.
SEGMENT EX RADEC   99.42801   16.39927        HIP_31681 0. 0.2 0. 360.
SEGMENT EX RADEC   99.44038  -43.19597        HIP_31685 0. 0.2 0. 360.
SEGMENT EX RADEC   10.12684   56.53738         HIP_3179 0. 0.2 0. 360.
SEGMENT EX RADEC  101.28724  -16.71613        HIP_32349 0. 0.2 0. 360.
SEGMENT EX RADEC  101.32244   12.89560        HIP_32362 0. 0.2 0. 360.
SEGMENT EX RADEC  102.04780  -61.94144        HIP_32607 0. 0.2 0. 360.
SEGMENT EX RADEC  102.46033  -32.50851        HIP_32759 0. 0.2 0. 360.
SEGMENT EX RADEC  103.19733   33.96128        HIP_33018 0. 0.2 0. 360.
SEGMENT EX RADEC  104.65654  -28.97211        HIP_33579 0. 0.2 0. 360.
SEGMENT EX RADEC  105.75623  -23.83331        HIP_33977 0. 0.2 0. 360.
SEGMENT EX RADEC  105.93964  -15.63330        HIP_34045 0. 0.2 0. 360.
SEGMENT EX RADEC   10.89739  -17.98662         HIP_3419 0. 0.2 0. 360.
SEGMENT EX RADEC  107.09794  -26.39322        HIP_34444 0. 0.2 0. 360.
SEGMENT EX RADEC  108.70282  -26.77269        HIP_35037 0. 0.2 0. 360.
SEGMENT EX RADEC  109.52334   16.54040        HIP_35350 0. 0.2 0. 360.
SEGMENT EX RADEC  110.03083   21.98234        HIP_35550 0. 0.2 0. 360.
SEGMENT EX RADEC  111.02385  -29.30313        HIP_35904 0. 0.2 0. 360.
SEGMENT EX RADEC  111.78777    8.28932        HIP_36188 0. 0.2 0. 360.
SEGMENT EX RADEC  113.64952   31.88830        HIP_36850 0. 0.2 0. 360.
SEGMENT EX RADEC  114.70789  -26.80386        HIP_37229 0. 0.2 0. 360.
SEGMENT EX RADEC  114.82559    5.22500        HIP_37279 0. 0.2 0. 360.
SEGMENT EX RADEC  116.32906   28.02622        HIP_37826 0. 0.2 0. 360.
SEGMENT EX RADEC  117.30966  -46.37324        HIP_38164 0. 0.2 0. 360.
SEGMENT EX RADEC  119.19474  -52.98240        HIP_38827 0. 0.2 0. 360.
SEGMENT EX RADEC  120.89613  -40.00318        HIP_39429 0. 0.2 0. 360.
SEGMENT EX RADEC  121.88614  -24.30434        HIP_39757 0. 0.2 0. 360.
SEGMENT EX RADEC  122.38323  -47.33663        HIP_39953 0. 0.2 0. 360.
SEGMENT EX RADEC  125.62859  -59.50953        HIP_41037 0. 0.2 0. 360.
SEGMENT EX RADEC  126.41524   -3.90643        HIP_41307 0. 0.2 0. 360.
SEGMENT EX RADEC  130.07338  -52.92193        HIP_42536 0. 0.2 0. 360.
SEGMENT EX RADEC  130.89818  -33.18641        HIP_42828 0. 0.2 0. 360.
SEGMENT EX RADEC  131.17605  -54.70887        HIP_42913 0. 0.2 0. 360.
SEGMENT EX RADEC  131.50696  -46.04157        HIP_43023 0. 0.2 0. 360.
SEGMENT EX RADEC  133.76190  -60.64466        HIP_43783 0. 0.2 0. 360.
SEGMENT EX RADEC  134.80201   48.04187        HIP_44127 0. 0.2 0. 360.
SEGMENT EX RADEC   14.17723   60.71679         HIP_4427 0. 0.2 0. 360.
SEGMENT EX RADEC   14.18839   38.49938         HIP_4436 0. 0.2 0. 360.
SEGMENT EX RADEC  135.90648   47.15656        HIP_44471 0. 0.2 0. 360.
SEGMENT EX RADEC  136.99911  -43.43263        HIP_44816 0. 0.2 0. 360.
SEGMENT EX RADEC  137.74214  -58.96695        HIP_45080 0. 0.2 0. 360.
SEGMENT EX RADEC  137.81978  -62.31703        HIP_45101 0. 0.2 0. 360.
SEGMENT EX RADEC  138.30001  -69.71727        HIP_45238 0. 0.2 0. 360.
SEGMENT EX RADEC  138.59120    2.31428        HIP_45336 0. 0.2 0. 360.
SEGMENT EX RADEC  139.27265  -59.27528        HIP_45556 0. 0.2 0. 360.
SEGMENT EX RADEC  139.71113   36.80263        HIP_45688 0. 0.2 0. 360.
SEGMENT EX RADEC  140.52853  -55.01071        HIP_45941 0. 0.2 0. 360.
SEGMENT EX RADEC  141.89697   -8.65861        HIP_46390 0. 0.2 0. 360.
SEGMENT EX RADEC  142.67512  -40.46680        HIP_46651 0. 0.2 0. 360.
SEGMENT EX RADEC  143.21443   51.67734        HIP_46853 0. 0.2 0. 360.
SEGMENT EX RADEC  146.46293   23.77427        HIP_47908 0. 0.2 0. 360.
SEGMENT EX RADEC  146.77563  -65.07206        HIP_48002 0. 0.2 0. 360.
SEGMENT EX RADEC  149.21572  -54.56784        HIP_48774 0. 0.2 0. 360.
SEGMENT EX RADEC  151.83326   16.76268        HIP_49583 0. 0.2 0. 360.
SEGMENT EX RADEC  152.09309   11.96722        HIP_49669 0. 0.2 0. 360.
SEGMENT EX RADEC  153.43437  -70.03796        HIP_50099 0. 0.2 0. 360.
SEGMENT EX RADEC  153.68411  -42.12198        HIP_50191 0. 0.2 0. 360.
SEGMENT EX RADEC  154.17270   23.41733        HIP_50335 0. 0.2 0. 360.
SEGMENT EX RADEC  154.27426   42.91440        HIP_50372 0. 0.2 0. 360.
SEGMENT EX RADEC  154.99327   19.84151        HIP_50583 0. 0.2 0. 360.
SEGMENT EX RADEC  158.00623  -61.68538        HIP_51576 0. 0.2 0. 360.
SEGMENT EX RADEC  158.20293    9.30659        HIP_51624 0. 0.2 0. 360.
SEGMENT EX RADEC  160.73931  -64.39450        HIP_52419 0. 0.2 0. 360.
SEGMENT EX RADEC  161.69255  -49.42030        HIP_52727 0. 0.2 0. 360.
SEGMENT EX RADEC   17.09619  -55.24581         HIP_5348 0. 0.2 0. 360.
SEGMENT EX RADEC  165.46046   56.38247        HIP_53910 0. 0.2 0. 360.
SEGMENT EX RADEC  165.93209   61.75109        HIP_54061 0. 0.2 0. 360.
SEGMENT EX RADEC   17.43303   35.62059         HIP_5447 0. 0.2 0. 360.
SEGMENT EX RADEC  168.52723   20.52373        HIP_54872 0. 0.2 0. 360.
SEGMENT EX RADEC  168.56016   15.42958        HIP_54879 0. 0.2 0. 360.
SEGMENT EX RADEC  170.25184  -54.49107        HIP_55425 0. 0.2 0. 360.
SEGMENT EX RADEC  170.28429    6.02933        HIP_55434 0. 0.2 0. 360.
SEGMENT EX RADEC  173.94550  -63.01989        HIP_56561 0. 0.2 0. 360.
SEGMENT EX RADEC  176.40190  -66.72882        HIP_57363 0. 0.2 0. 360.
SEGMENT EX RADEC  177.26506   14.57207        HIP_57632 0. 0.2 0. 360.
SEGMENT EX RADEC  178.45785   53.69481        HIP_58001 0. 0.2 0. 360.
SEGMENT EX RADEC  182.08974  -50.72247        HIP_59196 0. 0.2 0. 360.
SEGMENT EX RADEC  182.91312  -52.36850        HIP_59449 0. 0.2 0. 360.
SEGMENT EX RADEC  183.78647  -58.74898        HIP_59747 0. 0.2 0. 360.
SEGMENT EX RADEC  183.85666   57.03267        HIP_59774 0. 0.2 0. 360.
SEGMENT EX RADEC  183.95170  -17.54194        HIP_59803 0. 0.2 0. 360.
SEGMENT EX RADEC  184.60952  -64.00312        HIP_60009 0. 0.2 0. 360.
SEGMENT EX RADEC  184.97664   -0.66680        HIP_60129 0. 0.2 0. 360.
SEGMENT EX RADEC  186.64972  -63.09914        HIP_60718 0. 0.2 0. 360.
SEGMENT EX RADEC  187.01008  -50.23068        HIP_60823 0. 0.2 0. 360.
SEGMENT EX RADEC  187.46622  -16.51545        HIP_60965 0. 0.2 0. 360.
SEGMENT EX RADEC  187.79166  -57.11326        HIP_61084 0. 0.2 0. 360.
SEGMENT EX RADEC  188.11689  -72.13305        HIP_61199 0. 0.2 0. 360.
SEGMENT EX RADEC  188.37076   69.78830        HIP_61281 0. 0.2 0. 360.
SEGMENT EX RADEC  188.59697  -23.39678        HIP_61359 0. 0.2 0. 360.
SEGMENT EX RADEC  189.29607  -69.13562        HIP_61585 0. 0.2 0. 360.
SEGMENT EX RADEC  189.42584  -48.54134        HIP_61622 0. 0.2 0. 360.
SEGMENT EX RADEC  190.37949  -48.95993        HIP_61932 0. 0.2 0. 360.
SEGMENT EX RADEC  190.41534   -1.44938        HIP_61941 0. 0.2 0. 360.
SEGMENT EX RADEC  191.57019  -68.10818        HIP_62322 0. 0.2 0. 360.
SEGMENT EX RADEC  191.93043  -59.68881        HIP_62434 0. 0.2 0. 360.
SEGMENT EX RADEC  193.50745   55.95987        HIP_62956 0. 0.2 0. 360.
SEGMENT EX RADEC  193.64860  -57.17797        HIP_63003 0. 0.2 0. 360.
SEGMENT EX RADEC  194.00711   38.31841        HIP_63125 0. 0.2 0. 360.
SEGMENT EX RADEC  195.54432   10.95916        HIP_63608 0. 0.2 0. 360.
SEGMENT EX RADEC  199.73057  -23.17153        HIP_64962 0. 0.2 0. 360.
