# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  276.74363  -45.96850        HIP_90422 0. 0.2 0. 360.
SEGMENT EX RADEC  276.99290  -25.42172        HIP_90496 0. 0.2 0. 360.
SEGMENT EX RADEC  279.23497   38.78372        HIP_91262 0. 0.2 0. 360.
SEGMENT EX RADEC  281.41435  -26.99080        HIP_92041 0. 0.2 0. 360.
SEGMENT EX RADEC   29.69250  -61.56991         HIP_9236 0. 0.2 0. 360.
SEGMENT EX RADEC  282.52022   33.36270        HIP_92420 0. 0.2 0. 360.
SEGMENT EX RADEC  283.81660  -26.29674        HIP_92855 0. 0.2 0. 360.
SEGMENT EX RADEC  284.73617   32.68959        HIP_93194 0. 0.2 0. 360.
SEGMENT EX RADEC  285.65322  -29.88013        HIP_93506 0. 0.2 0. 360.
SEGMENT EX RADEC  286.35278   13.86349        HIP_93747 0. 0.2 0. 360.
SEGMENT EX RADEC  286.56249   -4.88256        HIP_93805 0. 0.2 0. 360.
SEGMENT EX RADEC  287.44121  -21.02363        HIP_94141 0. 0.2 0. 360.
SEGMENT EX RADEC   30.51178    2.76376         HIP_9487 0. 0.2 0. 360.
SEGMENT EX RADEC  290.65980  -44.45900        HIP_95241 0. 0.2 0. 360.
SEGMENT EX RADEC  290.97181  -40.61597        HIP_95347 0. 0.2 0. 360.
SEGMENT EX RADEC  291.37483    3.11478        HIP_95501 0. 0.2 0. 360.
SEGMENT EX RADEC  292.42674   51.72982        HIP_95853 0. 0.2 0. 360.
SEGMENT EX RADEC   30.85880   72.42136         HIP_9598 0. 0.2 0. 360.
SEGMENT EX RADEC   30.97483   42.32976         HIP_9640 0. 0.2 0. 360.
SEGMENT EX RADEC  296.24391   45.13085        HIP_97165 0. 0.2 0. 360.
SEGMENT EX RADEC  297.69608    8.86833        HIP_97649 0. 0.2 0. 360.
SEGMENT EX RADEC  300.14839  -72.91057        HIP_98495 0. 0.2 0. 360.
SEGMENT EX RADEC   31.79339   23.46244         HIP_9884 0. 0.2 0. 360.
SEGMENT EX RADEC  302.82645   -0.82146        HIP_99473 0. 0.2 0. 360.

# hipparcos stars > 5th magnitude

SEGMENT EX RADEC  304.51382  -12.54486       HIP_100064 0. 0.2 0. 360.
SEGMENT EX RADEC  305.16616  -12.75909       HIP_100310 0. 0.2 0. 360.
SEGMENT EX RADEC  307.34916   30.36858       HIP_101076 0. 0.2 0. 360.
SEGMENT EX RADEC  307.39561   62.99416       HIP_101093 0. 0.2 0. 360.
SEGMENT EX RADEC  307.51501   48.95161       HIP_101138 0. 0.2 0. 360.
SEGMENT EX RADEC  308.82749   14.67423       HIP_101589 0. 0.2 0. 360.
SEGMENT EX RADEC  309.38752   14.59510       HIP_101769 0. 0.2 0. 360.
SEGMENT EX RADEC  309.39206  -47.29154       HIP_101772 0. 0.2 0. 360.
SEGMENT EX RADEC  309.63084   21.20119       HIP_101867 0. 0.2 0. 360.
SEGMENT EX RADEC  309.63324   24.11598       HIP_101868 0. 0.2 0. 360.
SEGMENT EX RADEC  310.86499   15.07459       HIP_102281 0. 0.2 0. 360.
SEGMENT EX RADEC  311.00999  -51.92101       HIP_102333 0. 0.2 0. 360.
SEGMENT EX RADEC  311.32266   61.83883       HIP_102422 0. 0.2 0. 360.
SEGMENT EX RADEC  311.52415  -25.27092       HIP_102485 0. 0.2 0. 360.
SEGMENT EX RADEC  311.85250   36.49075       HIP_102589 0. 0.2 0. 360.
SEGMENT EX RADEC  313.31174   44.38730       HIP_103089 0. 0.2 0. 360.
SEGMENT EX RADEC  313.70278  -58.45420       HIP_103227 0. 0.2 0. 360.
SEGMENT EX RADEC  314.95675   47.52099       HIP_103632 0. 0.2 0. 360.
SEGMENT EX RADEC  316.10152  -19.85501       HIP_104019 0. 0.2 0. 360.
SEGMENT EX RADEC  316.48705  -17.23288       HIP_104139 0. 0.2 0. 360.
SEGMENT EX RADEC  317.58569   10.13159       HIP_104521 0. 0.2 0. 360.
SEGMENT EX RADEC  318.23438   30.22694       HIP_104732 0. 0.2 0. 360.
SEGMENT EX RADEC  318.62033   10.00699       HIP_104858 0. 0.2 0. 360.
SEGMENT EX RADEC  318.69815   38.04535       HIP_104887 0. 0.2 0. 360.
SEGMENT EX RADEC  318.95623    5.24785       HIP_104987 0. 0.2 0. 360.
SEGMENT EX RADEC  319.35424   39.39471       HIP_105102 0. 0.2 0. 360.
SEGMENT EX RADEC  319.47975   34.89693       HIP_105138 0. 0.2 0. 360.
SEGMENT EX RADEC  319.48479  -32.17257       HIP_105140 0. 0.2 0. 360.
SEGMENT EX RADEC  319.61354   43.94598       HIP_105186 0. 0.2 0. 360.
SEGMENT EX RADEC  319.96689  -53.44947       HIP_105319 0. 0.2 0. 360.
SEGMENT EX RADEC  320.19045  -40.80950       HIP_105382 0. 0.2 0. 360.
SEGMENT EX RADEC  321.61113  -65.36625       HIP_105858 0. 0.2 0. 360.
SEGMENT EX RADEC  321.66705  -22.41135       HIP_105881 0. 0.2 0. 360.
SEGMENT EX RADEC  323.49549   45.59188       HIP_106481 0. 0.2 0. 360.
SEGMENT EX RADEC   34.32864   33.84722        HIP_10670 0. 0.2 0. 360.
SEGMENT EX RADEC  324.27040  -19.46603       HIP_106723 0. 0.2 0. 360.
SEGMENT EX RADEC  324.43823   -7.85421       HIP_106786 0. 0.2 0. 360.
SEGMENT EX RADEC  325.02301  -16.66232       HIP_106985 0. 0.2 0. 360.
SEGMENT EX RADEC  325.36963  -77.39011       HIP_107089 0. 0.2 0. 360.
SEGMENT EX RADEC  325.52388   51.18967       HIP_107136 0. 0.2 0. 360.
SEGMENT EX RADEC  326.16167   25.64506       HIP_107354 0. 0.2 0. 360.
SEGMENT EX RADEC  326.23698  -33.02581       HIP_107380 0. 0.2 0. 360.
SEGMENT EX RADEC  326.36247   61.12086       HIP_107418 0. 0.2 0. 360.
SEGMENT EX RADEC  326.69865   49.30961       HIP_107533 0. 0.2 0. 360.
SEGMENT EX RADEC  328.26598   25.92516       HIP_108022 0. 0.2 0. 360.
SEGMENT EX RADEC  329.47976  -54.99262       HIP_108431 0. 0.2 0. 360.
SEGMENT EX RADEC  330.82880   -2.15536       HIP_108874 0. 0.2 0. 360.
SEGMENT EX RADEC  330.94800   64.62803       HIP_108917 0. 0.2 0. 360.
SEGMENT EX RADEC  331.60957  -13.86969       HIP_109139 0. 0.2 0. 360.
SEGMENT EX RADEC  331.75306   25.34513       HIP_109176 0. 0.2 0. 360.
SEGMENT EX RADEC  332.09615  -32.98850       HIP_109285 0. 0.2 0. 360.
SEGMENT EX RADEC  332.49713   33.17825       HIP_109410 0. 0.2 0. 360.
SEGMENT EX RADEC  332.71393   58.20131       HIP_109492 0. 0.2 0. 360.
SEGMENT EX RADEC  333.75941   57.04363       HIP_109857 0. 0.2 0. 360.
SEGMENT EX RADEC   35.43729  -68.65948        HIP_11001 0. 0.2 0. 360.
SEGMENT EX RADEC  334.62567  -60.25964       HIP_110130 0. 0.2 0. 360.
SEGMENT EX RADEC  335.25673   46.53661       HIP_110351 0. 0.2 0. 360.
SEGMENT EX RADEC  335.33086   28.33055       HIP_110371 0. 0.2 0. 360.
SEGMENT EX RADEC  335.37976   12.20520       HIP_110386 0. 0.2 0. 360.
SEGMENT EX RADEC  336.12941   49.47643       HIP_110609 0. 0.2 0. 360.
SEGMENT EX RADEC  336.31955    1.37740       HIP_110672 0. 0.2 0. 360.
SEGMENT EX RADEC  336.83348  -64.96641       HIP_110838 0. 0.2 0. 360.
SEGMENT EX RADEC  337.20825   -0.01997       HIP_110960 0. 0.2 0. 360.
SEGMENT EX RADEC  337.29306   58.41525       HIP_110991 0. 0.2 0. 360.
SEGMENT EX RADEC  337.31768  -43.49560       HIP_110997 0. 0.2 0. 360.
SEGMENT EX RADEC  337.62220   43.12341       HIP_111104 0. 0.2 0. 360.
SEGMENT EX RADEC  337.66202  -10.67796       HIP_111123 0. 0.2 0. 360.
SEGMENT EX RADEC  337.87666  -32.34610       HIP_111188 0. 0.2 0. 360.
SEGMENT EX RADEC  339.34369   51.54517       HIP_111674 0. 0.2 0. 360.
SEGMENT EX RADEC  339.81561   39.05030       HIP_111841 0. 0.2 0. 360.
SEGMENT EX RADEC  340.16420  -27.04364       HIP_111954 0. 0.2 0. 360.
SEGMENT EX RADEC  340.43949   29.30767       HIP_112051 0. 0.2 0. 360.
SEGMENT EX RADEC  341.51490  -81.38168       HIP_112405 0. 0.2 0. 360.
SEGMENT EX RADEC  341.67354   12.17290       HIP_112447 0. 0.2 0. 360.
SEGMENT EX RADEC  342.42036   66.20046       HIP_112724 0. 0.2 0. 360.
SEGMENT EX RADEC  342.50109   24.60160       HIP_112748 0. 0.2 0. 360.
SEGMENT EX RADEC  343.13168  -32.87553       HIP_112948 0. 0.2 0. 360.
SEGMENT EX RADEC  343.80726    8.81617       HIP_113186 0. 0.2 0. 360.
SEGMENT EX RADEC   36.48755  -12.29049        HIP_11345 0. 0.2 0. 360.
SEGMENT EX RADEC  345.94387   28.08281       HIP_113881 0. 0.2 0. 360.
SEGMENT EX RADEC  345.96952    3.82005       HIP_113889 0. 0.2 0. 360.
SEGMENT EX RADEC   36.74637  -47.70388        HIP_11407 0. 0.2 0. 360.
SEGMENT EX RADEC  346.65370   59.41981       HIP_114104 0. 0.2 0. 360.
SEGMENT EX RADEC  346.72000  -43.52040       HIP_114131 0. 0.2 0. 360.
SEGMENT EX RADEC  347.36195  -21.17243       HIP_114341 0. 0.2 0. 360.
SEGMENT EX RADEC  347.59003  -45.24675       HIP_114421 0. 0.2 0. 360.
SEGMENT EX RADEC  348.13781   49.40625       HIP_114570 0. 0.2 0. 360.
SEGMENT EX RADEC   37.03979    8.46006        HIP_11484 0. 0.2 0. 360.
SEGMENT EX RADEC  349.29170    3.28229       HIP_114971 0. 0.2 0. 360.
SEGMENT EX RADEC  349.35768  -58.23578       HIP_114996 0. 0.2 0. 360.
SEGMENT EX RADEC  349.47619   -9.18252       HIP_115033 0. 0.2 0. 360.
SEGMENT EX RADEC  349.74061   -9.61076       HIP_115115 0. 0.2 0. 360.
SEGMENT EX RADEC  350.15964   23.74036       HIP_115250 0. 0.2 0. 360.
SEGMENT EX RADEC   37.26647   67.40253        HIP_11569 0. 0.2 0. 360.
SEGMENT EX RADEC  351.73344    1.25561       HIP_115738 0. 0.2 0. 360.
SEGMENT EX RADEC  352.50838   58.54897       HIP_115990 0. 0.2 0. 360.
SEGMENT EX RADEC  353.24305  -37.81830       HIP_116231 0. 0.2 0. 360.
SEGMENT EX RADEC  353.31956  -20.91452       HIP_116247 0. 0.2 0. 360.
SEGMENT EX RADEC  353.76932  -42.61511       HIP_116389 0. 0.2 0. 360.
SEGMENT EX RADEC  354.39131   46.45819       HIP_116584 0. 0.2 0. 360.
SEGMENT EX RADEC  354.46278  -45.49239       HIP_116602 0. 0.2 0. 360.
SEGMENT EX RADEC  354.53447   43.26811       HIP_116631 0. 0.2 0. 360.
SEGMENT EX RADEC  354.83717   77.63234       HIP_116727 0. 0.2 0. 360.
SEGMENT EX RADEC  354.98797    5.62630       HIP_116771 0. 0.2 0. 360.
SEGMENT EX RADEC  355.10242   44.33397       HIP_116805 0. 0.2 0. 360.
SEGMENT EX RADEC  355.51199    1.78004       HIP_116928 0. 0.2 0. 360.
SEGMENT EX RADEC  355.68090  -14.54492       HIP_116971 0. 0.2 0. 360.
SEGMENT EX RADEC  357.23174  -28.13029       HIP_117452 0. 0.2 0. 360.
SEGMENT EX RADEC  359.75255   55.75498       HIP_118243 0. 0.2 0. 360.
SEGMENT EX RADEC  359.82818    6.86333       HIP_118268 0. 0.2 0. 360.
SEGMENT EX RADEC  359.97938  -65.57719       HIP_118322 0. 0.2 0. 360.
SEGMENT EX RADEC   38.46130  -28.23237        HIP_11918 0. 0.2 0. 360.
SEGMENT EX RADEC   39.89737  -68.26700        HIP_12394 0. 0.2 0. 360.
SEGMENT EX RADEC   39.95000  -42.89171        HIP_12413 0. 0.2 0. 360.
SEGMENT EX RADEC   40.86300   27.70717        HIP_12719 0. 0.2 0. 360.
SEGMENT EX RADEC   41.03066  -13.85871        HIP_12770 0. 0.2 0. 360.
SEGMENT EX RADEC   41.04998   49.22849        HIP_12777 0. 0.2 0. 360.
SEGMENT EX RADEC   41.23563   10.11415        HIP_12828 0. 0.2 0. 360.
SEGMENT EX RADEC   41.27581  -18.57258        HIP_12843 0. 0.2 0. 360.
SEGMENT EX RADEC   41.38601  -67.61667        HIP_12876 0. 0.2 0. 360.
SEGMENT EX RADEC   42.64612   38.31868        HIP_13254 0. 0.2 0. 360.
SEGMENT EX RADEC   43.56446   52.76252        HIP_13531 0. 0.2 0. 360.
SEGMENT EX RADEC    4.27291   38.68167         HIP_1366 0. 0.2 0. 360.
SEGMENT EX RADEC   44.10691   -8.89815        HIP_13701 0. 0.2 0. 360.
SEGMENT EX RADEC   44.69033   39.66276        HIP_13879 0. 0.2 0. 360.
SEGMENT EX RADEC   44.80306   21.34045        HIP_13914 0. 0.2 0. 360.
SEGMENT EX RADEC   44.92880    8.90737        HIP_13954 0. 0.2 0. 360.
SEGMENT EX RADEC   45.56992    4.08974        HIP_14135 0. 0.2 0. 360.
SEGMENT EX RADEC   45.59796  -23.62449        HIP_14146 0. 0.2 0. 360.
SEGMENT EX RADEC   46.29418   38.84031        HIP_14354 0. 0.2 0. 360.
SEGMENT EX RADEC   47.26679   49.61332        HIP_14632 0. 0.2 0. 360.
SEGMENT EX RADEC   47.37409   44.85758        HIP_14668 0. 0.2 0. 360.
SEGMENT EX RADEC    4.58191   36.78526         HIP_1473 0. 0.2 0. 360.
SEGMENT EX RADEC   47.98450   74.39372        HIP_14862 0. 0.2 0. 360.
SEGMENT EX RADEC   48.01891  -28.98764        HIP_14879 0. 0.2 0. 360.
SEGMENT EX RADEC   48.72544   21.04446        HIP_15110 0. 0.2 0. 360.
SEGMENT EX RADEC   49.78187   50.09501        HIP_15444 0. 0.2 0. 360.
SEGMENT EX RADEC   49.98192  -43.06982        HIP_15510 0. 0.2 0. 360.
SEGMENT EX RADEC   49.99701   65.65235        HIP_15520 0. 0.2 0. 360.
SEGMENT EX RADEC    4.85698   -8.82393         HIP_1562 0. 0.2 0. 360.
SEGMENT EX RADEC   51.20335    9.02888        HIP_15900 0. 0.2 0. 360.
SEGMENT EX RADEC    5.01776  -64.87485         HIP_1599 0. 0.2 0. 360.
SEGMENT EX RADEC   52.01283   49.06291        HIP_16147 0. 0.2 0. 360.
SEGMENT EX RADEC   52.26727   59.94038        HIP_16228 0. 0.2 0. 360.
SEGMENT EX RADEC   52.34192   49.50899        HIP_16244 0. 0.2 0. 360.
SEGMENT EX RADEC   52.65445   -5.07515        HIP_16341 0. 0.2 0. 360.
SEGMENT EX RADEC   53.23273   -9.45827        HIP_16537 0. 0.2 0. 360.
SEGMENT EX RADEC   53.44703  -21.63290        HIP_16611 0. 0.2 0. 360.
SEGMENT EX RADEC   54.12246   48.19267        HIP_16826 0. 0.2 0. 360.
SEGMENT EX RADEC   54.21831    0.40166        HIP_16852 0. 0.2 0. 360.
SEGMENT EX RADEC   55.56214  -31.93839        HIP_17304 0. 0.2 0. 360.
SEGMENT EX RADEC   55.59441   33.96506        HIP_17313 0. 0.2 0. 360.
SEGMENT EX RADEC   55.81214   -9.76340        HIP_17378 0. 0.2 0. 360.
SEGMENT EX RADEC   56.04995  -64.80696        HIP_17440 0. 0.2 0. 360.
SEGMENT EX RADEC   56.29851   42.57858        HIP_17529 0. 0.2 0. 360.
SEGMENT EX RADEC   56.30211   24.46730        HIP_17531 0. 0.2 0. 360.
SEGMENT EX RADEC   56.58161   23.94838        HIP_17608 0. 0.2 0. 360.
SEGMENT EX RADEC   56.71208  -23.24974        HIP_17651 0. 0.2 0. 360.
SEGMENT EX RADEC   56.80980  -74.23903        HIP_17678 0. 0.2 0. 360.
SEGMENT EX RADEC   57.06783   11.14330        HIP_17771 0. 0.2 0. 360.
SEGMENT EX RADEC   57.14954  -37.62019        HIP_17797 0. 0.2 0. 360.
SEGMENT EX RADEC   57.29678   24.13673        HIP_17851 0. 0.2 0. 360.
SEGMENT EX RADEC   57.58967   71.33233        HIP_17959 0. 0.2 0. 360.
SEGMENT EX RADEC   58.41233  -34.73233        HIP_18213 0. 0.2 0. 360.
SEGMENT EX RADEC   58.42798  -24.61225        HIP_18216 0. 0.2 0. 360.
SEGMENT EX RADEC    0.58300  -29.72044          HIP_183 0. 0.2 0. 360.
SEGMENT EX RADEC   59.35607   63.07232        HIP_18505 0. 0.2 0. 360.
SEGMENT EX RADEC   59.50741  -13.50853        HIP_18543 0. 0.2 0. 360.
SEGMENT EX RADEC   59.98123  -24.01624        HIP_18673 0. 0.2 0. 360.
SEGMENT EX RADEC   61.64607   50.35130        HIP_19167 0. 0.2 0. 360.
SEGMENT EX RADEC   62.96647   -6.83759        HIP_19587 0. 0.2 0. 360.
SEGMENT EX RADEC   63.50053  -42.29440        HIP_19747 0. 0.2 0. 360.
SEGMENT EX RADEC   63.60624  -62.47391        HIP_19780 0. 0.2 0. 360.
SEGMENT EX RADEC   63.88363    8.89236        HIP_19860 0. 0.2 0. 360.
SEGMENT EX RADEC   64.00666  -51.48669        HIP_19893 0. 0.2 0. 360.
SEGMENT EX RADEC   64.56096   50.29554        HIP_20070 0. 0.2 0. 360.
SEGMENT EX RADEC   64.94840   15.62766        HIP_20205 0. 0.2 0. 360.
SEGMENT EX RADEC   65.38825   46.49892        HIP_20354 0. 0.2 0. 360.
SEGMENT EX RADEC   65.73378   17.54253        HIP_20455 0. 0.2 0. 360.
SEGMENT EX RADEC   66.02406   17.44414        HIP_20542 0. 0.2 0. 360.
SEGMENT EX RADEC   66.34241   22.29389        HIP_20635 0. 0.2 0. 360.
SEGMENT EX RADEC   66.37249   17.92793        HIP_20648 0. 0.2 0. 360.
SEGMENT EX RADEC   66.57699   22.81360        HIP_20711 0. 0.2 0. 360.
SEGMENT EX RADEC   66.58648   15.61828        HIP_20713 0. 0.2 0. 360.
SEGMENT EX RADEC    6.55085  -43.67987         HIP_2072 0. 0.2 0. 360.
SEGMENT EX RADEC   67.14379   15.96219        HIP_20885 0. 0.2 0. 360.
SEGMENT EX RADEC   67.15422   19.18045        HIP_20889 0. 0.2 0. 360.
SEGMENT EX RADEC   67.64019   16.19403        HIP_21029 0. 0.2 0. 360.
SEGMENT EX RADEC   67.70881  -44.95379        HIP_21060 0. 0.2 0. 360.
SEGMENT EX RADEC   68.46222   14.84444        HIP_21273 0. 0.2 0. 360.
SEGMENT EX RADEC   68.88772  -30.56237        HIP_21393 0. 0.2 0. 360.
SEGMENT EX RADEC   68.91364   10.16080        HIP_21402 0. 0.2 0. 360.
SEGMENT EX RADEC   69.53949   12.51085        HIP_21589 0. 0.2 0. 360.
SEGMENT EX RADEC   69.54516  -14.30403        HIP_21594 0. 0.2 0. 360.
SEGMENT EX RADEC   69.81882   15.91799        HIP_21683 0. 0.2 0. 360.
SEGMENT EX RADEC   70.14053  -41.86379        HIP_21770 0. 0.2 0. 360.
SEGMENT EX RADEC   70.56132   22.95695        HIP_21881 0. 0.2 0. 360.
SEGMENT EX RADEC   72.65307    8.90018        HIP_22509 0. 0.2 0. 360.
SEGMENT EX RADEC   73.22369   -5.45270        HIP_22701 0. 0.2 0. 360.
SEGMENT EX RADEC   73.51261   66.34273        HIP_22783 0. 0.2 0. 360.
SEGMENT EX RADEC   73.72393   10.15084        HIP_22845 0. 0.2 0. 360.
SEGMENT EX RADEC   74.24847   33.16612        HIP_23015 0. 0.2 0. 360.
SEGMENT EX RADEC   74.32172   53.75215        HIP_23040 0. 0.2 0. 360.
SEGMENT EX RADEC   74.81427   37.89028        HIP_23179 0. 0.2 0. 360.
SEGMENT EX RADEC   75.35665  -20.05194        HIP_23362 0. 0.2 0. 360.
SEGMENT EX RADEC   75.35983   -7.17397        HIP_23364 0. 0.2 0. 360.
SEGMENT EX RADEC   75.61959   41.07587        HIP_23453 0. 0.2 0. 360.
SEGMENT EX RADEC   75.77401   21.58998        HIP_23497 0. 0.2 0. 360.
SEGMENT EX RADEC   75.85461   60.44230        HIP_23522 0. 0.2 0. 360.
SEGMENT EX RADEC   76.14235   15.40412        HIP_23607 0. 0.2 0. 360.
SEGMENT EX RADEC   76.36533  -22.37105        HIP_23685 0. 0.2 0. 360.
SEGMENT EX RADEC   77.28666   -8.75409        HIP_23972 0. 0.2 0. 360.
SEGMENT EX RADEC   78.07466  -11.86923        HIP_24244 0. 0.2 0. 360.
SEGMENT EX RADEC   78.30789  -12.94130        HIP_24327 0. 0.2 0. 360.
SEGMENT EX RADEC   78.85162  -26.94353        HIP_24505 0. 0.2 0. 360.
SEGMENT EX RADEC    7.85409  -48.80356         HIP_2472 0. 0.2 0. 360.
SEGMENT EX RADEC    7.88612  -62.95827         HIP_2484 0. 0.2 0. 360.
SEGMENT EX RADEC   79.89392  -13.17680        HIP_24845 0. 0.2 0. 360.
SEGMENT EX RADEC    7.88946  -62.96561         HIP_2487 0. 0.2 0. 360.
SEGMENT EX RADEC   80.11223  -21.23978        HIP_24927 0. 0.2 0. 360.
SEGMENT EX RADEC   80.44068   -0.38247        HIP_25044 0. 0.2 0. 360.
SEGMENT EX RADEC    7.94317   54.52233         HIP_2505 0. 0.2 0. 360.
SEGMENT EX RADEC   80.70840    3.54446        HIP_25142 0. 0.2 0. 360.
SEGMENT EX RADEC   81.18685    1.84645        HIP_25302 0. 0.2 0. 360.
SEGMENT EX RADEC   81.70935    3.09568        HIP_25473 0. 0.2 0. 360.
SEGMENT EX RADEC   81.90876   21.93698        HIP_25539 0. 0.2 0. 360.
SEGMENT EX RADEC   82.69612    5.94814        HIP_25813 0. 0.2 0. 360.
SEGMENT EX RADEC   82.80322  -35.47055        HIP_25859 0. 0.2 0. 360.
SEGMENT EX RADEC   82.98282   -7.30154        HIP_25923 0. 0.2 0. 360.
SEGMENT EX RADEC   83.18204   32.19205        HIP_25984 0. 0.2 0. 360.
SEGMENT EX RADEC    8.24997   62.93184         HIP_2599 0. 0.2 0. 360.
SEGMENT EX RADEC   83.40639  -62.48988        HIP_26069 0. 0.2 0. 360.
SEGMENT EX RADEC   83.70523    9.48959        HIP_26176 0. 0.2 0. 360.
SEGMENT EX RADEC   83.76124   -6.00203        HIP_26199 0. 0.2 0. 360.
SEGMENT EX RADEC   83.81600   -5.38732        HIP_26220 0. 0.2 0. 360.
SEGMENT EX RADEC   83.84549   -5.41606        HIP_26235 0. 0.2 0. 360.
SEGMENT EX RADEC   83.84659   -4.83836        HIP_26237 0. 0.2 0. 360.
SEGMENT EX RADEC   84.72125   -7.21283        HIP_26563 0. 0.2 0. 360.
SEGMENT EX RADEC   84.79651    4.12147        HIP_26594 0. 0.2 0. 360.
SEGMENT EX RADEC   85.21138   -1.12879        HIP_26736 0. 0.2 0. 360.
SEGMENT EX RADEC   85.32390   16.53416        HIP_26777 0. 0.2 0. 360.
SEGMENT EX RADEC   86.11587  -22.44840        HIP_27072 0. 0.2 0. 360.
SEGMENT EX RADEC   86.19332  -65.73558        HIP_27100 0. 0.2 0. 360.
SEGMENT EX RADEC   86.49964  -32.30646        HIP_27204 0. 0.2 0. 360.
SEGMENT EX RADEC   86.82127  -51.06656        HIP_27321 0. 0.2 0. 360.
SEGMENT EX RADEC   87.38728   12.65133        HIP_27511 0. 0.2 0. 360.
SEGMENT EX RADEC   87.47308  -66.90124        HIP_27534 0. 0.2 0. 360.
SEGMENT EX RADEC   87.74004  -35.76834        HIP_27628 0. 0.2 0. 360.
SEGMENT EX RADEC   87.83047  -20.87911        HIP_27654 0. 0.2 0. 360.
SEGMENT EX RADEC   88.27875  -33.80139        HIP_27810 0. 0.2 0. 360.
SEGMENT EX RADEC   88.33193   27.61229        HIP_27830 0. 0.2 0. 360.
SEGMENT EX RADEC   88.59584   20.27619        HIP_27913 0. 0.2 0. 360.
SEGMENT EX RADEC   89.10130  -14.16771        HIP_28103 0. 0.2 0. 360.
SEGMENT EX RADEC   89.38428  -35.28331        HIP_28199 0. 0.2 0. 360.
SEGMENT EX RADEC   89.49864   25.95393        HIP_28237 0. 0.2 0. 360.
SEGMENT EX RADEC   89.88190   54.28470        HIP_28358 0. 0.2 0. 360.
SEGMENT EX RADEC    9.03463   54.16850         HIP_2854 0. 0.2 0. 360.
SEGMENT EX RADEC   90.46017  -10.59794        HIP_28574 0. 0.2 0. 360.
SEGMENT EX RADEC   90.59590    9.64728        HIP_28614 0. 0.2 0. 360.
SEGMENT EX RADEC   90.98001   20.13847        HIP_28716 0. 0.2 0. 360.
SEGMENT EX RADEC   91.03014   23.26336        HIP_28734 0. 0.2 0. 360.
SEGMENT EX RADEC   91.53893  -14.93527        HIP_28910 0. 0.2 0. 360.
SEGMENT EX RADEC   91.88188  -37.25295        HIP_29034 0. 0.2 0. 360.
SEGMENT EX RADEC   91.89310   14.76848        HIP_29038 0. 0.2 0. 360.
SEGMENT EX RADEC    9.22021   33.71937         HIP_2912 0. 0.2 0. 360.
SEGMENT EX RADEC   92.18450  -68.84347        HIP_29134 0. 0.2 0. 360.
SEGMENT EX RADEC   92.57470  -54.96869        HIP_29276 0. 0.2 0. 360.
SEGMENT EX RADEC   92.96597   -6.55029        HIP_29417 0. 0.2 0. 360.
SEGMENT EX RADEC   92.98506   14.20878        HIP_29426 0. 0.2 0. 360.
SEGMENT EX RADEC   93.01374   16.13042        HIP_29434 0. 0.2 0. 360.
SEGMENT EX RADEC   93.71948   22.50682        HIP_29655 0. 0.2 0. 360.
SEGMENT EX RADEC   93.93710  -13.71843        HIP_29735 0. 0.2 0. 360.
SEGMENT EX RADEC   94.71165   69.31985        HIP_29997 0. 0.2 0. 360.
SEGMENT EX RADEC   94.90586   59.01101        HIP_30060 0. 0.2 0. 360.
SEGMENT EX RADEC    0.93496  -17.33600          HIP_301 0. 0.2 0. 360.
SEGMENT EX RADEC   95.52853  -33.43643        HIP_30277 0. 0.2 0. 360.
SEGMENT EX RADEC   95.74019   22.51360        HIP_30343 0. 0.2 0. 360.
SEGMENT EX RADEC   95.94210    4.59287        HIP_30419 0. 0.2 0. 360.
SEGMENT EX RADEC   96.98995   -4.76216        HIP_30772 0. 0.2 0. 360.
SEGMENT EX RADEC   97.04261  -32.58010        HIP_30788 0. 0.2 0. 360.
SEGMENT EX RADEC   97.24086   20.21215        HIP_30883 0. 0.2 0. 360.
SEGMENT EX RADEC    9.83199   30.86105         HIP_3092 0. 0.2 0. 360.
SEGMENT EX RADEC   97.96411  -23.41844        HIP_31125 0. 0.2 0. 360.
SEGMENT EX RADEC   98.22603    7.33297        HIP_31216 0. 0.2 0. 360.
SEGMENT EX RADEC   98.40809   -1.22015        HIP_31278 0. 0.2 0. 360.
SEGMENT EX RADEC   98.74417  -52.97565        HIP_31407 0. 0.2 0. 360.
SEGMENT EX RADEC   98.76420  -22.96481        HIP_31416 0. 0.2 0. 360.
SEGMENT EX RADEC   99.17107  -19.25590        HIP_31592 0. 0.2 0. 360.
SEGMENT EX RADEC  100.24450    9.89576        HIP_31978 0. 0.2 0. 360.
SEGMENT EX RADEC  100.98311   25.13115        HIP_32246 0. 0.2 0. 360.
SEGMENT EX RADEC  101.55897   59.44172        HIP_32438 0. 0.2 0. 360.
SEGMENT EX RADEC  102.48412  -50.61460        HIP_32768 0. 0.2 0. 360.
SEGMENT EX RADEC  102.73796   67.57199        HIP_32864 0. 0.2 0. 360.
SEGMENT EX RADEC   10.51624   50.51257         HIP_3300 0. 0.2 0. 360.
