fk5;circle(158.335,-57.8112,0.35) # text=HOTJ1050-578
fk5;circle(231.235,-59.5334,0.35) # text=HOTJ1537-595
fk5;circle(292.63,18.8646,0.4) # text=G054.1+00.3
fk5;circle(276.31,-15.4624,0.35) # text=HOTJ1837-154
fk5;circle(224.546,-59.4793,0.55) # text=HESSJ1458-595
fk5;circle(266.687,-28.6651,0.6) # text=GC(c)
fk5;circle(220.588,-62.3761,0.95) # text=HESSJ1442-623
fk5;circle(276.481,-13.9213,1.25) # text=HESSJ1825-137(a)
fk5;circle(284.296,2.66667,0.75) # text=HESSJ1857+026
fk5;circle(252.075,-46.0714,1.35) # text=HESSJ1648-460
fk5;circle(256.793,-44.2822,0.5) # text=HOTJ1710-442
fk5;circle(240.212,-52.452,0.35) # text=HOTJ1601-524
fk5;circle(283.628,-1.01747,0.45) # text=HOTJ1881-010
fk5;circle(249.564,-46.8944,0.55) # text=HESSJ1634-J1640
fk5;circle(274.675,-15.5694,0.45) # text=HESSJ1818-155
fk5;circle(272.302,-23.4787,0.35) # text=HOTJ1813-234
fk5;circle(192.848,-65.3317,0.35) # text=HOTJ1277-653
fk5;circle(289.013,11.2584,0.35) # text=HOTJ1924+112
fk5;circle(268.571,-25.7406,0.5) # text=HESSJ1754-257
fk5;circle(280.96,-3.36,0.85) # text=HESSJ1843-033
fk5;circle(283.943,1.40131,0.5) # text=HOTJ1883+014
fk5;circle(287.52,9.12,0.35) # text=HESSJ1915+091
fk5;circle(279.247,-7.01019,1.15) # text=HESSJ1837-069
fk5;circle(275.231,-8.20983,0.35) # text=HOTJ1831-082
fk5;circle(277.373,-15.0365,0.6) # text=HOTJ1844-150
fk5;circle(155.825,-57.7639,0.9) # text=HESSJ1023-575
fk5;circle(173.854,-61.0354,0.35) # text=HOTJ1153-610
fk5;circle(267.264,-27.8433,0.6) # text=GC(a)
fk5;circle(291.828,16.1687,0.35) # text=HOTJ1940+161
fk5;circle(266.862,-29.1066,0.54) # text=NEWHOT10
fk5;circle(265.196,-30.9469,0.3) # text=NEWHOT11
fk5;circle(265.08,-35.878,0.36) # text=NEWHOT12
fk5;circle(262.434,-34.5829,0.5) # text=NEWHOT13
fk5;circle(255.69,-42.07,0.85) # text=HESSJ1702-420
fk5;circle(251.643,-45.5696,0.56) # text=NEWHOT15
fk5;circle(226.011,-41.8,0.35) # text=SN1006NE
fk5;circle(272.43,-19.3769,0.65) # text=HESSJ1809-193(c)
fk5;circle(286.313,8.60095,0.35) # text=HOTJ1907+086
fk5;circle(282.212,-0.986037,0.65) # text=HESSJ1852+000HS1
fk5;circle(288.2,10.12,0.75) # text=HESSJ1912+101
